,full_name,gender,address,country,university,job_title,company,salary,credit_card,balance,vehicle,birthday,shirt_size,clean_birthday,year,age,continent,income_tax
0,Andreana Nelthropp,M,76864 Holmberg Lane,Japan,Hiroshima Jogakuin University,Payment Adjustment Coordinator,Dynava,93600,visa-electron,88864,Volkswagen,24/06/1996,XS,1996-06-24,1996,26,Asia,22464
1,Janet Angear,M,95564 Autumn Leaf Place,Spain,Universidad Abierta Interactiva,Project Manager,Brainverse,31546,visa,484569,Mazda,28/05/1999,XL,1999-05-28,1999,23,Europe,3785
2,Julian Desport,F,12802 Pierstorff Circle,Russia,St. Petersburg State Cinema and TV University,Speech Pathologist,Wikido,28385,instapayment,208092,Peugeot,03/06/1996,2XL,1996-03-06,1996,26,Asia,3406
3,Jock Olorenshaw,M,20 Kedzie Hill,Russia,Nevsky Institute of Language and Culture,Executive Secretary,Blogpad,51164,mastercard,248698,Jaguar,15/02/1994,XL,1994-02-15,1994,28,Asia,11256
4,Ethelred McConigal,M,363 Dottie Crossing,Canada,Carleton University,Quality Control Specialist,Blogtags,62046,solo,316809,GMC,01/02/1991,XS,1991-01-02,1991,31,North America,13650
5,Edwin Dosedale,F,7608 Buell Court,Russia,North Ossetian State University,Structural Engineer,Dynabox,108984,visa-electron,330671,Volkswagen,12/04/1999,M,1999-12-04,1999,23,Asia,26156
6,Seamus Serrier,M,4361 5th Parkway,Poland,Adam Mickiewicz University of Poznan,Payment Adjustment Coordinator,Tambee,104074,bankcard,406957,Volvo,01/07/1994,XS,1994-01-07,1994,28,Europe,24977
7,Lanie Enderby,F,3 Westport Park,Croatia,University of Pula,Help Desk Technician,Intel,96015,instapayment,116999,Volkswagen,28/01/1998,S,1998-01-28,1998,24,Europe,23043
8,Alic Kellough,M,2525 Sutherland Way,Thailand,Rangsit University,Teacher,Zoonoodle,97563,bankcard,469550,Audi,08/09/1991,S,1991-08-09,1991,31,Asia,23415
9,Jock Clotworthy,M,9 Ronald Regan Court,Japan,Nagaoka University of Technology,General Manager,Google,69792,mastercard,341028,Isuzu,05/09/1992,3XL,1992-05-09,1992,30,Asia,15354
10,Davey Docksey,M,7758 Bay Way,Spain,Universidad de Salamanca,Budget/Accounting Analyst IV,Feedspan,75910,solo,444618,GMC,31/07/1999,XS,1999-07-31,1999,23,Europe,16700
11,Jamie Bennison,F,34 Dovetail Pass,Russia,St. Petersburg State University of Culture and Arts,Account Representative I,Riffwire,71276,americanexpress,139032,Dodge,18/01/2000,S,2000-01-18,2000,22,Asia,15680
12,Owen Kirtley,F,4 Center Plaza,Norway,Norwegian University of Science and Technology,Geologist II,Kamba,98591,instapayment,494486,Lexus,10/09/1991,XL,1991-10-09,1991,31,Europe,23661
13,Iggy Poel,M,19 Twin Pines Place,Norway,Molde University College,VP Quality Control,Gabspot,83116,visa,396933,Mercedes-Benz,18/06/1999,3XL,1999-06-18,1999,23,Europe,18285
14,Pattin Christofol,F,77966 Meadow Ridge Pass,Russia,Vyatka State Pedagogical University,Environmental Specialist,Tagtune,60290,solo,350645,Acura,30/06/2000,S,2000-06-30,2000,22,Asia,13263
15,Hatti Scholtis,F,01 Meadow Vale Parkway,Poland,Adam Mickiewicz University of Poznan,Associate Professor,Twitterlist,31299,instapayment,418113,Chevrolet,22/10/1994,L,1994-10-22,1994,28,Europe,3755
16,Britteny Hasel,M,9240 Muir Avenue,Poland,Gdansk Management College,General Manager,Bluezoom,83079,visa,229878,BMW,12/09/1999,S,1999-12-09,1999,23,Europe,18277
17,Leslie Aucock,M,742 Oriole Junction,Japan,Musashi University,Senior Quality Engineer,Intel,66477,mastercard,406921,Mitsubishi,29/09/1993,XS,1993-09-29,1993,29,Asia,14624
18,Skylar Kamenar,M,59 Susan Court,United States,Missouri Baptist College,Assistant Professor,Jamia,108449,visa,202266,Jeep,10/05/1993,XS,1993-10-05,1993,29,North America,26027
19,Fleming Phin,F,1 Bunker Hill Street,Russia,Kazan State University of Medicine,Speech Pathologist,Wordpedia,40060,solo,315952,Dodge,10/02/1995,XL,1995-10-02,1995,27,Asia,4807
20,Stanly Linzey,F,6155 Kenwood Drive,Croatia,University of Pula,Senior Financial Analyst,Mybuzz,65118,bankcard,395036,Ford,22/04/1997,3XL,1997-04-22,1997,25,Europe,14325
21,Lurlene O'Hartigan,M,3917 Nevada Alley,Russia,Brjansk State Technical University,Quality Engineer,Photojam,25204,solo,436942,Ford,10/01/1991,2XL,1991-10-01,1991,31,Asia,3024
22,Bertie Huntar,F,48643 Bartelt Road,Croatia,University of Split,Internal Auditor,LiveZ,68775,visa,90021,Jaguar,25/07/1992,S,1992-07-25,1992,30,Europe,15130
23,Francklin Ody,M,8 Anderson Court,United States,"Rasmussen College, Minnesota Campuses",Engineer IV,Dynabox,53894,solo,492224,Pontiac,05/07/1995,S,1995-05-07,1995,27,North America,11856
24,Oliy Grouvel,M,832 Nevada Road,United States,University of Kansas,VP Product Management,Edgepulse,60379,mastercard,240947,Toyota,09/01/1999,L,1999-09-01,1999,23,North America,13283
25,Billy Renak,M,6 Green Crossing,United States,Southwest Missouri State University - West Plains,Sales Representative,Voonyx,97214,solo,548790,GMC,19/02/1994,S,1994-02-19,1994,28,North America,23331
26,Wendel Lea,F,4034 Mendota Junction,Spain,International University of Southern Europe,Business Systems Development Analyst,Linkbuzz,39092,mastercard,152571,Nissan,21/01/1996,XS,1996-01-21,1996,26,Europe,4691
27,Rebeca Brouard,M,340 Swallow Pass,Canada,Sauder School of Business,Project Manager,Yoveo,100504,visa,315952,Ford,02/12/1998,M,1998-02-12,1998,24,North America,24120
28,Pollyanna Buckam,M,931 Brickson Park Point,Germany,Evangelische Hochschule für Soziale Arbeit Dresden (FH),Help Desk Technician,Youopia,65586,instapayment,81620,Toyota,09/03/1994,3XL,1994-09-03,1994,28,Europe,14428
29,Nicoline Pellitt,M,2 Vidon Avenue,Russia,Ulyanovsk State Agricultural Academy,Staff Accountant III,Voolith,66477,americanexpress,345491,Honda,07/05/1994,3XL,1994-07-05,1994,28,Asia,14624
30,Amabel Bradnock,M,91 Troy Hill,Australia,Macquarie University,Programmer Analyst IV,Zoomlounge,69719,americanexpress,427520,Aston Martin,25/07/1992,S,1992-07-25,1992,30,Oceania,15338
31,Elysee Gerran,F,3 Grasskamp Trail,Russia,East-Siberian State University of Technology,Teacher,Devpulse,66477,instapayment,423397,Saab,27/06/2000,L,2000-06-27,2000,22,Asia,14624
32,Anestassia Fotherby,M,82091 Sommers Road,Thailand,Nivadhana University,Help Desk Operator,Feedmix,106728,mastercard,293133,Isuzu,30/10/1998,XL,1998-10-30,1998,24,Asia,25614
33,Amelie Jasik,F,434 Mallard Drive,Spain,Universidad de León,Speech Pathologist,Mudo,58349,instapayment,519010,Lincoln,24/11/1995,XL,1995-11-24,1995,27,Europe,12836
34,Nollie Fudge,M,13637 Pearson Terrace,United States,University of Maryland University College,Help Desk Operator,Edgewire,109110,solo,442943,Oldsmobile,03/01/1998,XL,1998-03-01,1998,24,North America,26186
35,Lottie Oxnam,M,910 Dryden Road,Thailand,Mahamakut Buddhist University,Civil Engineer,Katz,109704,visa-electron,88945,Dodge,30/11/1990,L,1990-11-30,1990,32,Asia,26328
36,Mattie Birrell,M,201 Park Meadow Avenue,Japan,Hiroshima Kokusai Gakuin University,Research Nurse,Meeveo,66477,visa,509687,Volkswagen,27/07/1996,S,1996-07-27,1996,26,Asia,14624
37,Faber Vanyakin,F,221 Armistice Hill,Thailand,Chiang Mai Rajabhat University,Editor,Cogilith,94948,bankcard,315158,Mercedes-Benz,30/08/1993,2XL,1993-08-30,1993,29,Asia,22787
38,Mareah Bradick,F,314 4th Center,Spain,Universidad de San Pablo CEU,Budget/Accounting Analyst I,Yombu,78298,visa-electron,421437,Pontiac,04/12/1996,XS,1996-04-12,1996,26,Europe,17225
39,Dulcinea Rediers,M,5411 Debs Junction,Russia,East-Siberian State University of Technology,Sales Associate,Divanoodle,87060,bankcard,332252,Maserati,17/12/1999,XL,1999-12-17,1999,23,Asia,19153
40,Stanfield Goggey,M,5787 Starling Point,Russia,Linguistic University of Nizhny Novgorod,Dental Hygienist,Einti,95984,instapayment,219484,Mercury,25/07/1995,2XL,1995-07-25,1995,27,Asia,23036
41,Norah Skerrett,M,303 Granby Parkway,United States,Life Chiropractic College West,Product Engineer,Divavu,66477,visa-electron,163277,Pontiac,18/07/1992,S,1992-07-18,1992,30,North America,14624
42,Devina McLise,M,1992 Golf Course Road,Russia,Irkutsk State Technical University,Project Manager,Feedfish,58283,visa-electron,328588,Volvo,21/02/2000,S,2000-02-21,2000,22,Asia,12822
43,Moll Saffon,M,92407 Schurz Center,Russia,Yaroslavl State Medical Academy,Graphic Designer,Quimm,37635,instapayment,414650,Ford,29/12/1998,3XL,1998-12-29,1998,24,Asia,4516
44,Tom Hosby,M,70258 Lukken Drive,Canada,Conestoga College,Budget/Accounting Analyst III,Quire,94412,visa-electron,156926,GMC,02/05/2000,2XL,2000-02-05,2000,22,North America,22658
45,Dane Barsham,M,7 Helena Plaza,Thailand,Chulalongkorn University,Senior Editor,Camimbo,85407,instapayment,522093,Volvo,22/10/1997,S,1997-10-22,1997,25,Asia,18789
46,Jenelle Hair,M,88626 Lighthouse Bay Lane,Russia,Gnesins Russian Academy of Music,Help Desk Technician,Snaptags,22578,visa,277165,Pontiac,20/07/1994,XS,1994-07-20,1994,28,Asia,2709
47,Janey Ghost,M,6 Forest Junction,Thailand,South-East Asia University,Project Manager,Trunyx,105958,americanexpress,528667,GMC,18/03/1998,XL,1998-03-18,1998,24,Asia,25429
48,Alonso Openshaw,F,24 Bunting Road,Poland,AGH University of Science and Technology,Assistant Media Planner,Flashspan,45861,bankcard,495614,Nissan,19/05/1996,XL,1996-05-19,1996,26,Europe,10089
49,Gilli Gravenell,M,40 Hintze Avenue,Germany,Hochschule Bremen,Dental Hygienist,Eabox,25408,bankcard,239001,Buick,29/07/1999,L,1999-07-29,1999,23,Europe,3048
50,Ilise Gale,M,090 Maywood Point,Canada,University of Victoria,Desktop Support Technician,Livefish,33198,mastercard,402748,Nissan,21/01/1996,M,1996-01-21,1996,26,North America,3983
51,Aluin Gehring,M,6 Arkansas Trail,United States,Bowling Green State University,Paralegal,Realcube,28906,visa,230370,Isuzu,10/06/1996,S,1996-10-06,1996,26,North America,3468
52,Farah Abrahamovitz,F,7094 Onsgard Road,Thailand,Eastern Asia University,Programmer I,Netflix,46648,visa,352864,Porsche,15/08/2000,XL,2000-08-15,2000,22,Asia,10262
53,Vale Fairlam,M,38 Katie Circle,United States,La Salle University,Account Coordinator,Google,90645,mastercard,509567,Volkswagen,12/10/1999,L,1999-12-10,1999,23,North America,21754
54,Urbanus Pautot,M,6809 Aberg Junction,Poland,Academy of Humanities and Economics in Lodz,Quality Engineer,Mydeo,105465,bankcard,131158,Chevrolet,01/03/1996,XL,1996-01-03,1996,26,Europe,25311
55,Bald Birk,M,78 Moose Point,Russia,Moscow State University of Civil Engineering,Environmental Tech,Eamia,35336,visa,510457,Lexus,29/09/1991,L,1991-09-29,1991,31,Asia,4240
56,Freddy Dewett,F,82 Gerald Avenue,Canada,University College of Saint-Boniface,Web Developer II,Gabvine,46572,instapayment,509677,Pontiac,05/02/2000,M,2000-05-02,2000,22,North America,10245
57,Flemming Oldam,M,6336 Charing Cross Junction,Russia,Yaroslavl State Technical University,Nurse,Meemm,36893,americanexpress,413539,Toyota,07/06/1992,XS,1992-07-06,1992,30,Asia,4427
58,Consalve Conti,F,808 Brickson Park Court,South Korea,Catholic University of Korea,Programmer Analyst II,Einti,20413,visa-electron,498800,Fairthorpe,20/12/1990,S,1990-12-20,1990,32,Asia,2449
59,Kev Duff,M,65872 Mitchell Center,Thailand,Kasetsart University,Media Manager I,Leexo,70731,solo,87012,Ford,17/04/1995,XS,1995-04-17,1995,27,Asia,15560
60,Callie Tebbut,M,30 American Ash Court,Poland,College of Computer Science in Lodz,Assistant Media Planner,Photofeed,74708,bankcard,475603,Eagle,10/09/1993,3XL,1993-10-09,1993,29,Europe,16435
61,Marketa Asbury,M,68 Melby Circle,Poland,University of Warsaw,Speech Pathologist,Riffpath,97885,mastercard,540631,Aston Martin,02/03/1991,M,1991-02-03,1991,31,Europe,23492
62,Xena Swine,M,086 Express Park,Poland,Pomeranian Academy of Medicine in Szczecin,Health Coach II,Google,36630,instapayment,410026,Mazda,26/04/1995,2XL,1995-04-26,1995,27,Europe,4395
63,Ravid Woolley,F,03 Mosinee Hill,Russia,Siberian State University of Telecommunications and Informatics,Librarian,Edgepulse,50160,mastercard,291310,Mercury,27/02/1992,XS,1992-02-27,1992,30,Asia,11035
64,Isabella Ginley,M,5959 Transport Terrace,Russia,Marij State University,Information Systems Manager,Cogibox,71569,visa,445901,Jeep,26/10/1996,L,1996-10-26,1996,26,Asia,15745
65,Kassia Eade,F,218 Burrows Avenue,Russia,Moscow University Touro,Director of Sales,Google,42226,instapayment,294546,Toyota,05/09/1992,XL,1992-05-09,1992,30,Asia,9289
66,Selinda McCullock,M,2937 Jackson Street,Canada,University of St. Michael's College,Health Coach III,Google,106404,mastercard,291021,Volkswagen,11/09/1996,3XL,1996-11-09,1996,26,North America,25536
67,Emanuele Gulleford,F,9121 Dovetail Plaza,Thailand,International Buddhist College,Developer II,Rhyloo,98315,americanexpress,161968,Ford,25/06/1997,XS,1997-06-25,1997,25,Asia,23595
68,Isabeau Turpey,M,4193 Haas Crossing,Russia,Rostov State University,Actuary,Kanoodle,37077,visa,338671,Chevrolet,26/08/1992,L,1992-08-26,1992,30,Asia,4449
